t;theta
s;degré
0;-1,61609628449361
0,025;1,34917285266941
0,05;4,29598673700244
0,075;7,186993888961
0,1;9,98555019095308
0,125;12,6561833591593
0,15;15,1650425621161
0,175;17,4803274870527
0,2;19,5726914154765
0,225;21,4156131989405
0,25;22,9857334201218
0,275;24,2631504782998
0,3;25,2316728462892
0,325;25,8790243014183
0,35;26,1969995292072
0,375;26,1815681274376
0,4;25,83292569234
0,425;25,1554913393705
0,45;24,1578516900028
0,475;22,8526520345125
0,5;21,2564360502906
0,525;19,3894361072877
0,55;17,2753168185121
0,575;14,9408750861331
0,6;12,4157004451661
0,625;9,73180000995598
0,65;6,92319277733782
0,675;4,02547842876941
0,7;1,07538609695632
0,725;-1,88969118355253
0,75;-4,83217044086349
0,775;-7,71475513773214
0,8;-10,5009079129384
0,825;-13,1553136999474
0,85;-15,644327352731
0,875;-17,9364001049989
0,9;-20,0024794573802
0,925;-21,8163774239019
0,95;-23,3551024701641
0,975;-24,5991509358249
1;-25,5327542475571
1,025;-26,1440787889975
1,05;-26,4253758942984
1,075;-26,3730800640809
1,1;-25,9878541588816
1,125;-25,2745809972573
1,15;-24,2423014650434
1,175;-22,9040999202432
1,2;-21,2769383460658
1,225;-19,3814413542578
1,25;-17,2416347638546
1,275;-14,884641068922
1,3;-12,3403356552964
1,325;-9,64096812384906
1,35;-6,82075352008063
1,375;-3,91543865129494
1,4;-0,961848988373741
1,425;2,00257810473395
1,45;4,94026789739529
1,475;7,81398455982739
1,5;10,5873031349931
1,525;13,2250712325154
1,55;15,6938545925445
1,575;17,9623608719629
1,6;20,0018362813499
1,625;21,7864300452493
1,65;23,2935220661307
1,675;24,5040096388355
1,7;25,4025495813422
1,725;25,9777527127933
1,75;26,2223282137337
1,775;26,1331760387655
1,8;25,7114262102689
1,825;24,9624244951334
1,85;23,895664646049
1,875;22,5246680662146
1,9;20,8668124227367
1,925;18,9431113810812
1,95;16,7779482524876
1,975;14,3987669304229
2;11,835724033517
2,025;9,12130666414324
2,05;6,28992062763139
2,075;3,37745433152144
2,1;0,420823892525503
2,125;-2,54249478293771
2,15;-5,4749410136596
2,175;-8,33934543309673
2,2;-11,0994011188308
2,225;-13,7201237903698
2,25;-16,1682952421874
2,275;-18,4128843913942
2,3;-20,4254406031749
2,325;-22,1804543085077
2,35;-23,6556803432635
2,375;-24,8324199102928
2,4;-25,6957575905727
2,425;-26,2347503992488
2,45;-26,4425664902467
2,475;-26,3165717513433
2,5;-25,8583631920877
2,525;-25,0737487013728
2,55;-23,9726734312341
2,575;-22,5690937399773
2,6;-20,8808002924304
2,625;-18,9291925595632
2,65;-16,739007575737
2,675;-14,3380063916434
2,7;-11,756622197207
2,725;-9,02757457456615
2,75;-6,18545477055687
2,775;-3,26628724545694
2,8;-0,307073055451403
2,825;2,65467914345898
2,85;5,58142852548218
2,875;8,43607793281817
2,9;11,1824440898582
2,925;13,7857162337366
2,95;16,2128973479986
2,975;18,4332224066539
3;20,4185483272867
3,025;22,1437106904855
3,05;23,5868427040979
3,075;24,7296523693748
3,1;25,5576543358627
3,125;26,0603535062367
3,15;26,2313780638447
3,175;26,0685602368097
3,2;25,5739637749899
3,225;24,7538577915195
3,25;23,6186373004945
3,275;22,1826914580047
3,3;20,464221176584
3,325;18,4850084248547
3,35;16,27014013654
3,375;13,8476902283551
3,4;11,2483637572683
3,425;8,50510772751018
3,45;5,65269348043562
3,475;2,72727596053163
3,5;-0,23406455603142
3,525;-3,19379246162103
3,55;-6,11439258878427
3,575;-8,95884572280684
3,6;-11,6910978279673
3,625;-14,2765170399463
3,65;-16,6823326319179
3,675;-18,8780503903356
3,7;-20,8358391354375
3,725;-22,5308834872454
3,75;-23,9416984056725
3,775;-25,0504015178797
3,8;-25,8429397810752
3,825;-26,3092676077572
3,85;-26,4434741956278
3,875;-26,2438584482424
3,9;-25,7129505367614
3,925;-24,8574798295039
3,95;-23,6882895958032
3,975;-22,2201995653105
4;-20,4718180848354
4,025;-18,465306253676
4,05;-16,2260970270712
4,075;-13,7825728481973
4,1;-11,1657058947913
4,125;-8,40866550034949
4,15;-5,54639772591914
4,175;-2,61518241149787
4,2;0,347826678490925
4,225;3,30507278689942
4,25;6,21907220357059
4,275;9,05288937917012
4,3;11,7706050909638
4,325;14,337771726445
4,35;16,7218499139954
4,375;18,8926209661953
4,4;20,8225699079785
4,425;22,4872342346704
4,45;23,8655139793279
4,475;24,9399391592138
4,5;25,6968912114653
4,525;26,126775611214
4,55;26,2241434841862
4,575;25,9877606723189
4,6;25,4206233769701
4,625;24,5299201814428
4,65;23,3269409341952
4,675;21,82693364766
4,7;20,0489112265129
4,725;18,0154104751468
4,75;15,7522064389833
4,775;13,287985700406
4,8;10,6539827703555
4,825;7,88358418439995
4,85;5,01190532144496
4,875;2,07534530899521
4,9;-0,88887434336573
4,925;-3,84318153435993
4,95;-6,75012980522052
4,975;-9,57287298135444
