T (s);A
0;0
0,2;0
0,4;0
0,6;0
0,8;0
1;0
1,2;0
1,4;0
1,6;0
1,8;0
2;0
2,2;0
2,4;0
2,6;0
2,8;0
3;0
3,2;0
3,4;0
3,6;0
3,8;0
4;0
4,2;0
4,4;0
4,6;0
4,8;0
5;0
5,2;0,849
5,4;0,849
5,6;0,849
5,8;0,858
6;0,874
6,2;0,857
6,4;0,866
6,6;0,848
6,8;0,856
7;0,855
7,2;0,853
7,4;0,841
7,6;0,835
7,8;0,832
8;0,83
8,2;0,826
8,4;0,839
8,6;0,839
8,8;0,841
9;0,84
9,2;0,837
9,4;0,834
9,6;0,832
9,8;0,827
10;0,823
10,2;0,827
10,4;0,823
10,6;0,818
10,8;0,818
11;0,813
11,2;0,814
11,4;0,809
11,6;0,815
11,8;0,81
12;0,811
12,2;0,806
12,4;0,799
12,6;0,801
12,8;0,799
13;0,799
13,2;0,798
13,4;0,792
13,6;0,794
13,8;0,789
14;0,785
14,2;0,782
14,4;0,781
14,6;0,776
14,8;0,774
15;0,77
15,2;0,765
15,4;0,765
15,6;0,766
15,8;0,761
16;0,761
16,2;0,756
16,4;0,754
16,6;0,75
16,8;0,751
17;0,749
17,2;0,742
17,4;0,743
17,6;0,74
17,8;0,737
18;0,737
18,2;0,734
18,4;0,731
18,6;0,729
18,8;0,726
19;0,722
19,2;0,724
19,4;0,718
19,6;0,713
19,8;0,714
20;0,711
20,2;0,705
20,4;0,704
20,6;0,702
20,8;0,699
21;0,697
21,2;0,691
21,4;0,691
21,6;0,692
21,8;0,687
22;0,683
22,2;0,681
22,4;0,677
22,6;0,673
22,8;0,672
23;0,671
23,2;0,663
23,4;0,663
23,6;0,659
23,8;0,659
24;0,655
24,2;0,652
24,4;0,651
24,6;0,646
24,8;0,644
25;0,642
25,2;0,638
25,4;0,638
25,6;0,633
25,8;0,632
26;0,631
26,2;0,626
26,4;0,622
26,6;0,621
26,8;0,619
27;0,616
27,2;0,613
27,4;0,608
27,6;0,606
27,8;0,604
28;0,601
28,2;0,597
28,4;0,595
28,6;0,595
28,8;0,591
29;0,586
29,2;0,587
29,4;0,584
29,6;0,58
29,8;0,578
30;0,575
30,2;0,573
30,4;0,571
30,6;0,568
30,8;0,565
31;0,561
31,2;0,559
31,4;0,557
31,6;0,554
31,8;0,553
32;0,549
32,2;0,544
32,4;0,544
32,6;0,541
32,8;0,539
33;0,537
33,2;0,533
33,4;0,531
33,6;0,527
33,8;0,526
34;0,521
34,2;0,518
34,4;0,517
34,6;0,513
34,8;0,511
35;0,512
35,2;0,507
35,4;0,504
35,6;0,501
35,8;0,5
36;0,496
36,2;0,495
36,4;0,493
36,6;0,49
36,8;0,485
37;0,485
37,2;0,482
37,4;0,479
37,6;0,476
37,8;0,475
38;0,471
38,2;0,468
38,4;0,468
38,6;0,462
38,8;0,461
39;0,459
39,2;0,457
39,4;0,455
39,6;0,453
39,8;0,451
40;0,447
40,2;0,446
40,4;0,444
40,6;0,44
40,8;0,438
41;0,434
41,2;0,433
41,4;0,43
41,6;0,43
41,8;0,425
42;0,425
42,2;0,421
42,4;0,419
42,6;0,417
42,8;0,413
43;0,409
43,2;0,41
43,4;0,408
43,6;0,407
43,8;0,403
44;0,402
44,2;0,398
44,4;0,397
44,6;0,395
44,8;0,391
45;0,393
45,2;0,388
45,4;0,386
45,6;0,384
45,8;0,382
46;0,379
46,2;0,38
46,4;0,375
46,6;0,374
46,8;0,371
47;0,368
47,2;0,368
47,4;0,368
47,6;0,365
47,8;0,362
48;0,361
48,2;0,355
48,4;0,356
48,6;0,353
48,8;0,351
49;0,35
49,2;0,347
49,4;0,344
49,6;0,344
49,8;0,342
50;0,338
50,2;0,339
50,4;0,337
50,6;0,334
50,8;0,332
51;0,329
51,2;0,329
51,4;0,323
51,6;0,325
51,8;0,323
52;0,32
52,2;0,319
52,4;0,316
52,6;0,316
52,8;0,312
53;0,311
53,2;0,31
53,4;0,307
53,6;0,307
53,8;0,304
54;0,303
54,2;0,299
54,4;0,3
54,6;0,298
54,8;0,294
55;0,294
55,2;0,293
55,4;0,29
55,6;0,289
55,8;0,287
56;0,285
56,2;0,283
56,4;0,281
56,6;0,28
56,8;0,279
57;0,277
57,2;0,275
57,4;0,276
57,6;0,273
57,8;0,27
58;0,27
58,2;0,267
58,4;0,264
58,6;0,263
58,8;0,263
59;0,263
59,2;0,259
59,4;0,257
59,6;0,257
59,8;0,255
60;0,254
60,2;0,252
60,4;0,251
60,6;0,25
60,8;0,249
61;0,245
61,2;0,245
61,4;0,243
61,6;0,242
61,8;0,24
62;0,24
62,2;0,237
62,4;0,236
62,6;0,235
62,8;0,233
63;0,233
63,2;0,23
63,4;0,231
63,6;0,23
63,8;0,227
64;0,226
64,2;0,224
64,4;0,224
64,6;0,22
64,8;0,22
65;0,22
65,2;0,217
65,4;0,216
65,6;0,214
65,8;0,215
66;0,212
66,2;0,21
66,4;0,21
66,6;0,208
66,8;0,209
67;0,206
67,2;0,204
67,4;0,202
67,6;0,204
67,8;0,201
68;0,2
68,2;0,198
68,4;0,198
68,6;0,195
68,8;0,194
69;0,195
69,2;0,193
69,4;0,192
69,6;0,191
69,8;0,189
70;0,188
70,2;0,187
70,4;0,186
70,6;0,184
70,8;0,183
71;0,182
71,2;0,182
71,4;0,181
71,6;0,18
71,8;0,178
72;0,177
72,2;0,175
72,4;0,175
72,6;0,173
72,8;0,175
73;0,173
73,2;0,172
73,4;0,17
73,6;0,17
73,8;0,17
74;0,167
74,2;0,164
74,4;0,164
74,6;0,164
74,8;0,163
75;0,161
75,2;0,161
75,4;0,16
75,6;0,158
75,8;0,158
76;0,158
76,2;0,156
76,4;0,155
76,6;0,157
76,8;0,152
77;0,154
77,2;0,152
77,4;0,152
77,6;0,151
77,8;0,15
78;0,149
78,2;0,148
78,4;0,147
78,6;0,146
78,8;0,144
79;0,143
79,2;0,144
79,4;0,142
79,6;0,143
79,8;0,142
80;0,14
80,2;0,139
80,4;0,138
80,6;0,138
80,8;0,136
81;0,137
81,2;0,134
81,4;0,133
81,6;0,133
81,8;0,132
82;0,131
82,2;0,131
82,4;0,129
82,6;0,129
82,8;0,13
83;0,128
83,2;0,128
83,4;0,125
83,6;0,124
83,8;0,125
84;0,124
84,2;0,123
